,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
55,Bob,0.41990,0.11103,-5.36882,-3.47232,3.02622,-0.20446,Polka,1.11122,-0.01612,-10.91213,-1.96077,True,-0.58489
56,Jorg,-0.99351,-0.19938,-1.33732,-1.78584,1.67460,0.04774,Hambo,2.66267,1.23853,-12.13755,5.26077,True,-5.63619
57,Atsuto,0.52374,0.63598,-1.56720,-100000000000000000000.92675,1.72407,0.40751,Polka,0.01591,1.63161,-6.54516,2.08919,False,1.83509
58,Atsuto,0.05450,-0.19447,-3.43878,-1.80505,1.53179,-0.48261,Polka,-0.21732,-0.38341,-10.06790,0.23518,True,-1.44688
59,Bob,1.14493,1.10805,-6.01389,-3.11002,2.73684,2.79261,Schottis,2.71676,-1.74158,-8.51029,-2.50321,True,2.71773
60,Atsuto,-1.24280,0.09749,-3.39356,-2.46113,2.27527,0.52328,Hambo,-0.09530,0.85845,-8.42083,1.72871,True,-7.91078
61,Jorg,0.80425,0.56409,-0.70086,-2.28116,2.00445,1.30116,Schottis,-0.88562,-2.95660,-8.75724,-1.34501,False,3.67084
62,Jorg,1.66882,2.16640,-1.76935,-2.01434,1.81056,1.80361,Polskor,-0.30005,-0.82889,-11.01333,1.70577,False,7.45941
63,Atsuto,1.17586,-0.65341,2.05091,-1.73415,1.45459,-0.61659,chottis,0.00227,-0.54581,-8.93129,0.63600,True,6.90473
64,Jorg,1.39712,0.87953,0.12864,-1.77093,1.67881,0.49874,Schottis,0.73398,0.49737,-8.49689,-1.62329,True,7.04991
65,Jorg,-0.84414,0.05263,1.75128,-2.61897,2.16532,0.62176,Hambo,-0.64882,2.38037,-10.24450,3.41706,True,-3.34508
66,Bob,-1.10621,0.16849,-0.07793,-2.72343,2.61805,0.25658,Hambo,-0.67220,-3.09940,-11.34418,-0.53432,False,-5.57000
67,Bob,1.67311,0.63028,-1.76073,-2.99825,2.45276,0.49873,Polskor,-0.60841,-0.87580,-5.50524,-0.78919,True,7.48518
68,Jorg,0.21640,-0.88494,-3.19816,-1.96046,1.79111,-0.52893,Polka,0.69129,-1.45314,-11.58651,2.16973,True,-0.51708
69,Jorg,0.03463,0.61463,-4.09783,-2.01385,1.81781,0.94601,Polka,1.98092,1.43440,-8.37478,-0.35735,True,-1.87577
70,Jorg,-0.06769,-0.22183,1.55237,-2.24170,2.07052,-1.49844,Slängpolskor,-0.04891,-0.64077,-11.65566,0.17116,True,0.43772
71,Bob,0.07420,-0.84499,-2.11285,-3.42056,2.90021,-0.03990,Polka,1.68239,-0.84122,-9.46495,-2.49522,True,-0.68544
72,Jorg,1.20661,0.48905,-3.69946,-1.61146,1.47770,1.16637,chottis,2.44764,1.85547,-9.48166,-2.66210,True,4.18330
73,Jorg,0.97388,0.47142,-4.89261,-2.76037,2.40526,1.03127,Schottis,-0.61097,-0.10706,-9.49306,-1.34819,True,2.42312
74,Jorg,-1.65089,-0.30340,-4.24395,-2.60779,2.13249,-0.10981,Hambo,-0.52661,0.52250,-8.20040,-1.21449,True,-10.37644
75,Jorg,-0.92694,-0.42566,-3.68088,-2.71064,2.37876,0.71382,Hambo,-1.60396,0.10918,-7.51563,-0.26429,True,-6.47512
76,Jorg,0.03112,-0.80807,1.91107,-1.97227,1.76343,0.05088,Polka,1.31000,0.40519,-10.02057,4.89082,True,1.11111
77,Jorg,0.19034,-1.34340,-3.93196,-2.46552,2.06107,-1.71063,Polka,1.74524,-0.42623,-8.24448,0.22449,True,-1.01430
78,Jorg,0.17377,0.85390,0.65428,-2.99938,2.59953,1.36001,Polka,-0.68727,0.71046,-10.70712,1.89853,True,1.19600
79,Jorg,1.15514,0.53602,-2.78397,-1.76719,1.66671,0.42078,Schottis,-0.64102,-3.16676,-9.28903,-0.25288,True,4.38374
80,Bob,2.74296,0.51185,-4.60523,-2.69829,2.26537,0.15419,Polskor,0.62698,-0.84752,-9.16959,-1.42863,True,11.41217
81,Jorg,0.78421,0.74002,-1.60157,-2.12988,1.87595,0.73987,Schottis,0.99133,2.64925,-7.56568,-1.26380,False,3.12026
82,Jorg,-0.72565,-0.32904,-0.22023,-2.71149,2.38731,-0.88720,Slängpolskor,-1.56575,-2.05972,-11.98811,2.64615,False,-3.73837
83,Bob,-0.45380,-1.05576,3.43322,-3.02452,2.54707,-1.32821,Slängpolskor,-0.37476,0.01544,-10.32137,-3.30687,True,-0.55241
84,Jorg,1.37887,0.42331,-2.64771,-1.86148,1.78022,1.22048,Schottis,-3.01862,-1.00110,-7.55730,-1.28124,True,5.57050
85,Bob,-1.87675,-0.96278,-0.17801,-2.83597,2.57880,-1.66719,Hambo,-0.31553,-1.27187,-9.03890,-2.83809,True,-9.47274
86,Jorg,1.07080,-0.03798,-1.74240,-2.88012,2.42263,0.59516,Schottis,2.08363,0.84655,-10.10334,1.57678,True,4.48278
87,Jorg,-1.34000,0.42182,-4.30671,-2.89396,2.47544,1.20303,Hambo,0.18523,0.18416,-6.51306,-1.28601,True,-8.85335
88,Bob,0.10291,-1.59835,-2.51700,-3.23941,2.78413,-1.21841,Polka,-0.44686,0.68603,-9.02646,-2.77645,True,-0.74398
89,Bob,2.15091,1.09501,-4.73183,-3.20008,2.61851,1.16778,Polskor,-0.87186,0.06429,-9.75716,-3.38902,True,8.38865
90,Jorg,-0.73378,-0.16567,-0.60344,-2.67728,2.24075,-0.13490,Slängpolskor,-0.16172,0.26255,-9.38160,-0.81625,False,-3.97060
91,Bob,-0.29865,-0.25186,-0.84702,-2.37202,2.04320,0.18665,Slängpolskor,-0.82435,1.28615,-8.61503,-0.98997,True,-1.91678
92,Atsuto,0.07720,0.82679,2.67567,-1.70421,1.50821,0.71917,olka,-0.02320,-0.13820,-8.20575,1.59217,True,1.72386
93,Bob,-0.60230,1.09491,5.15024,-2.67446,2.12274,0.95057,Slängpolskor,0.84730,-2.67080,-8.84348,-2.81171,True,-0.43639
94,Jorg,1.27505,-0.13910,-6.03517,-1.98185,1.84106,0.48079,Schottis,0.82458,0.08203,-11.85454,2.17040,True,3.35764
95,Bob,-1.15194,0.42982,-1.22546,-2.03033,1.84442,0.69057,Hambo,-1.56965,-0.60767,-8.72723,0.03428,False,-6.37241
96,Bob,1.26686,0.49014,-5.08033,-2.74215,2.60331,0.00414,Schottis,-0.29329,-0.18849,-10.14493,-3.53824,True,3.79412
97,Jorg,-0.85261,-0.83732,1.32410,-2.61367,2.14362,-1.01731,Hambo,3.31285,2.54271,-7.16220,-0.16459,False,-3.60101
98,Atsuto,-0.15547,-0.64581,0.99880,-2.80359,2.46882,-0.10382,Slängpolskor,0.07879,1.02926,-9.40790,2.46805,False,-0.27796
99,Jorg,-0.86361,0.08125,4.32692,-1.81447,1.69160,-0.14234,Hambo,0.26401,-0.03874,-12.18466,1.99271,True,-2.15458
100,Atsuto,-0.30659,-0.22059,-0.26793,-2.27224,1.95033,-0.47673,Slängpolskor,0.90205,0.67102,-9.47492,-1.61133,False,-1.66694
101,Jorg,-0.59585,-0.85573,0.29695,-2.08948,2.01818,-0.68660,Slängpolskor,-0.30713,0.73114,-7.35730,-0.82653,False,-2.83078
102,Bob,-0.93453,-0.07423,-0.25132,-3.00220,2.73113,0.64675,Hambo,1.80215,-1.66331,-10.84235,-1.85889,False,-4.79834
103,Jorg,1.25758,1.06605,1.74850,-2.57317,2.12591,0.75657,Schottis,-0.56049,-1.81149,-7.21495,-1.04100,True,7.16215
104,Jorg,-0.80153,0.02592,3.55091,-2.62908,2.41951,-0.47447,Hambo,0.52398,-0.90725,-9.37346,-1.20412,True,-2.23221
105,Jorg,0.59874,0.38485,0.86855,-2.56948,2.26620,0.56703,olka,1.11549,1.09096,-7.40521,-0.28086,True,3.42800
106,Bob,-0.40411,-0.25345,-1.06620,-3.40275,2.85497,-0.28394,Slängpolskor,1.46407,-1.64185,-9.48143,-0.61915,True,-2.55367
107,Jorg,0.08925,0.04671,1.01290,-3.29094,2.79299,-0.34276,Polka,0.83852,2.39700,-7.98835,0.72820,True,0.95268
108,Bob,1.11560,-0.35316,-0.36126,-1.70608,1.50203,-0.56471,Schottis,1.15133,-0.90663,-11.00347,-2.02209,False,5.39735
109,Jorg,-1.44480,-0.06027,-2.44777,-2.42444,2.27376,-0.50837,Hambo,0.65941,2.30089,-7.23978,-2.58080,True,-8.44787
110,Jorg,-0.82063,1.04765,1.47397,-2.72392,2.34240,0.69263,Hambo,-1.43551,-0.18025,-9.20982,-0.96619,True,-3.36615
111,Jorg,-0.29978,0.62755,1.46617,-2.35601,1.94127,0.48921,Slängpolskor,0.45386,3.33315,-7.85655,-0.21906,True,-0.76580
112,Bob,-0.55342,-0.83922,-2.05248,-2.08646,1.69723,0.23324,Slängpolskor,-0.32404,1.73727,-7.83009,-3.32347,True,-3.79334
113,Jorg,-0.47527,0.71992,-0.02565,-2.76937,2.49462,0.23719,Slängpolskor,2.43306,1.92497,-8.67041,-1.50812,False,-2.38917
114,Bob,1.08542,1.35042,2.25886,-1.26513,1.23047,1.11764,Schottis,-1.44181,-0.28533,-9.71474,-0.50292,True,6.55654
115,Bob,1.38196,0.79967,-4.53249,-3.36909,2.77871,0.66887,Schottis,1.82868,-0.89113,-7.16273,-3.33470,True,4.64357
116,Jorg,-0.36934,0.59543,-1.26580,-2.13921,2.07048,0.48828,Slängpolskor,-1.74630,-0.34406,-9.75084,-0.27666,False,-2.47962
117,Jorg,2.30911,-0.57526,-1.76841,-2.18995,2.00344,-0.85589,Polskor,0.44399,1.43170,-9.65993,-0.17448,True,10.66135
118,Atsuto,-0.52380,-1.08168,-0.22861,-1.88028,1.64915,-0.80940,Slängpolskor,0.92275,0.49886,-9.30529,1.40905,True,-2.73333
119,Jorg,-1.46331,-0.27842,5.09446,-2.20234,1.88721,-0.27840,Hambo,0.08762,-2.57440,-7.24353,0.21054,True,-4.76932
120,Jorg,-0.34687,0.31283,1.39834,-1.80177,1.64082,0.41034,Slängpolskor,0.50239,0.06023,-6.91073,-0.09435,True,-1.03517
121,Atsuto,1.00275,0.74933,-3.16442,-1.47964,1.28562,0.85323,Schottis,-1.05652,1.08869,-11.29256,0.01739
122,Bob,2.43967,1.33396,-4.48987,-2.08070,1.72620,0.60636,Polskor,0.54552,-0.40226,-8.81935,-2.35476,True,9.95341
123,Jorg,-0.32359,-1.89192,4.56402,-2.25128,1.85517,-2.35366,Slängpolskor,-2.07373,-0.35691,-7.25126,-0.02200,True,0.66405
124,Jorg,1.92133,0.40445,-0.34178,-3.10957,2.68326,0.38964,Polskor,-0.44512,-2.48160,-10.03335,-2.11017,False,9.43575
125,Jorg,1.61788,-1.03936,-5.55630,-1.59887,1.55537,-1.06106,Polskor,1.21679,2.49432,-6.89269,-1.28751,True,5.31127
126,Jorg,0.66002,-0.12818,-1.72511,-2.46451,2.03848,-0.16063,Polka,-0.22440,0.88139,-11.56614,-1.23120,True,2.43754
127,Atsuto,1.42660,1.01880,-6.23482,-1.95170,1.69278,0.99572,Schottis,-0.30145,-0.19133,-7.67677,-2.15551,True,4.01562
128,Jorg,0.36231,0.36636,-7.92079,-2.39612,2.09641,0.07500,Polka,2.26389,3.08939,-10.65068,-1.84291,True,-2.14884
129,Bob,-0.98954,-0.32809,0.94140,-1.82244,1.52499,-0.79605,Hambo,-0.97750,1.04731,-9.23998,-0.53039,False,-4.47699
130,Jorg,-1.06471,-0.03559,-4.47521,-2.05796,1.92596,0.00464,Hambo,-0.31984,-1.49058,-3.99931,-0.20526,True,-7.56115
131,Jorg,0.32676,-0.14758,2.30176,-1.47973,1.43496,-0.36158,Polka,0.85998,0.95530,-8.66209,-1.32122,True,2.78467
132,Jorg,-0.83252,-0.72105,3.20546,-1.88619,1.72941,-1.08979,Hambo,0.89501,-0.62932,-6.83688,0.31420,True,-2.55989
133,Atsuto,-1.21745,0.26480,-8.48094,-2.69206,2.44983,0.38251,Hambo,-0.13555,-0.60254,-10.79850,-2.05722,True,-10.32773
134,Jorg,-2.15307,-0.34330,0.76690,-2.74482,2.32048,-0.11712,Hambo,-0.51565,-0.23554,-11.13446,0.15456,False,-10.38192
135,Atsuto,-0.40675,-0.62282,2.13824,-2.14797,1.96260,-0.93625,Slängpolskor,-0.28105,0.13910,-8.78860,1.56707,True,-0.96461
136,Jorg,-0.58390,-0.68788,-3.70045,-2.22214,2.08130,-0.90181,Slängpolskor,0.59204,1.30381,-11.80411,1.76211,True,-4.76972
137,Jorg,-0.35649,0.28080,-1.85792,-2.18041,1.80467,-0.67599,Slängpolskor,-0.93128,-1.15455,-9.83750,2.04967,True,-2.71142
138,Bob,1.15612,1.26001,-4.41827,-2.94110,2.45735,1.55813,Schottis,0.06274,1.66790,-9.78415,-2.43691,True,3.57149
139,Atsuto,-1.87175,-0.29434,2.64858,-2.41110,2.15723,-0.43955,Hambo,-0.69493,-0.80050,-7.91770,1.47768,True,-8.03445
140,Jorg,0.12779,0.34107,0.39685,-1.69981,1.53045,0.30103,Polka,-0.35495,0.83852,-10.97364,2.98863,False,0.83737
141,Atsuto,-0.33299,0.39337,-0.72985,-2.23441,1.94595,0.57000,Slängpolskor,-0.72475,-0.10011,-9.51512,2.50586,False,-2.02987
142,Atsuto,-1.02075,-0.66705,0.19868,-2.80398,2.51454,-0.26635,Hambo,-0.62337,-0.51805,-8.78359,1.82977,False,-5.00440
143,Bob,-0.27513,-1.40296,-0.87324,-2.24959,2.04066,-1.75140,Slängpolskor,0.36962,1.52351,-7.69825,-3.20943,True,-1.81229
144,Jorg,1.40446,1.58568,1.00151,-3.22329,2.78054,0.87049,Schottis,0.10930,1.35387,-8.83320,-0.40302,YEP True,7.52306
145,Bob,-0.02806,-0.01121,2.39987,-2.65112,2.26214,-0.38158,Slängpolskor,-0.87145,0.44639,-8.65481,-0.32670,True,1.05964
146,Bob,-0.30498,0.54604,-6.01388,-3.16106,2.64179,0.53319,Slängpolskor,-2.89769,3.10083,-10.00061,-2.11699,True,-4.53185
147,Jorg,0.93850,2.00136,-6.18200,-2.27530,1.86863,1.27881,Schottis,-1.60663,-1.54898,-10.85426,2.46064,True,1.60152
148,Atsuto,0.31341,0.60555,0.22105,-1.90673,1.66405,1.01534,Polka,0.44330,-0.06034,-10.12732,2.49883,False,1.67756
149,Jorg,-0.76576,-1.33071,3.29289,-1.96255,1.82123,-0.99690,Hambo,1.03890,2.42432,-5.96110,-0.31740,True,-2.18236
150,Atsuto,0.46739,0.87541,-4.24016,-1.86702,1.60071,0.84277,Polka,-0.70293,-0.10755,-8.74502,-2.34948,True,0.21687
151,Bob,-0.77439,-0.11719,1.05413,-2.79552,2.23059,-0.36392,Hambo,1.13319,-0.38465,-9.46808,-3.39732,False,-3.34489
152,Bob,-0.33606,1.50931,-10.68953,-1.65133,1.46210,0.50008,Slängpolskor,0.93653,-0.81767,-8.76068,-3.60551,True,-7.02508
153,Jorg,-0.07265,-0.06598,2.56662,-2.34472,2.06405,-0.22166,Slängpolskor,-1.50349,-2.13456,-8.22190,-1.70718,True,0.92006
154,Jorg,0.64642,-0.23354,3.12001,-1.66089,1.60815,-0.64015,Polka,-0.34438,-3.83654,-7.89693,-1.12409,True,4.79210
155,Bob,0.85348,-0.04571,-1.96945,-3.07277,2.69166,0.54051,Schottis,3.14752,0.06883,-9.73046,1.47690,True,3.28267
156,Jorg,1.13244,1.16651,-3.54256,-3.00517,2.57154,1.59387,Schottis,-1.37871,2.24181,-8.66536,-1.47324,True,3.89091
157,Jorg,-0.88521,0.25452,-0.52106,-1.74573,1.70115,0.17153,Hambo,-1.78559,-0.60386,-8.78136,-2.36486,False,-4.68656
158,Jorg,-0.76761,-0.34097,-5.22365,-2.34351,1.95310,-0.45543,Hambo,2.16336,0.58917,-6.21174,-2.08246,True,-6.44988
159,Atsuto,-0.45759,-0.31044,2.60353,-2.60410,2.34274,-0.75174,Slängpolskor,0.66215,0.00925,-6.44790,3.54016,True,-0.98617
160,Atsuto,0.29491,-0.23865,2.40000,-2.15835,1.98481,-0.21649,Polka,1.11840,-0.79320,-8.85645,2.60429,True,2.67455
161,Atsuto,0.98522,-0.15905,1.59262,-2.54498,2.20997,-0.23301,Schottis,0.09549,-0.42804,-10.08273,-1.60283,True,5.72242
162,Bob,-0.36872,0.94200,-1.96984,-3.37449,3.00174,1.86200,Slängpolskor,0.88345,0.16813,-9.10672,0.64439,True,-2.82851
163,Bob,-0.06876,0.95894,-3.61982,-2.84657,2.61867,1.09013,Slängpolskor,2.66367,-1.40569,-9.00794,-1.03092,True,-2.15373
164,Jorg,-0.32739,-0.73500,-2.35918,-2.51739,2.35188,-0.52366,Slängpolskor,-1.56235,-1.45647,-6.13626,0.01249,True,-2.81651
165,Bob,0.56586,1.38870,-7.37077,-2.68983,2.35546,2.20806,Polka,1.15987,-2.28538,-8.34205,-0.26198,True,-0.85611
166,Atsuto,-1.54968,-0.85024,-3.06598,-2.12184,1.82197,-0.06290,Hambo,-0.61875,-0.23429,-8.92516,2.38342,True,-9.28138
167,Jorg,-0.03272,-0.45965,0.93839,-2.79601,2.53510,-0.77931,Slängpolskor,2.74406,1.37054,-7.48242,-0.69762,False,0.30557
168,Jorg,-0.74628,-0.51388,2.04652,-3.34637,2.85353,-0.27647,Slängpolskor,-4.44608,-3.38552,-8.89189,-0.48996,True,-2.70815
169,Atsuto,-0.21445,0.57304,0.42217,-2.37967,2.12770,0.72277,Slängpolskor,0.83581,0.35625,-8.19457,2.85954,False,-0.86116
170,Bob,-1.28786,-0.44669,-1.30157,-2.66790,2.14688,-0.66358,Hambo,0.11057,-1.44511,-11.58578,-2.81429,True,-7.09009
171,Bob,0.02770,0.32716,1.01581,-1.61495,1.48982,0.55697,Polka,-2.13944,2.81830,-9.03829,-2.34544,True,0.64640
172,Jorg,-0.10654,0.42133,-6.30942,-2.65114,2.21516,-0.26213,Slängpolskor,0.87796,-2.40628,-10.50562,-1.07609,True,-3.68743
173,Jorg,-1.65237,-1.02382,3.78306,-1.83489,1.68434,-0.95016,Hambo,0.41024,1.58504,-5.57680,-1.40475,True,-6.37034
174,Atsuto,1.44141,0.11126,-1.47603,-1.65644,1.38612,-0.23669,Schottis,0.55124,-0.25304,-11.57673,1.54978,True,6.46905
175,Bob,-0.81178,-0.26395,1.48035,-2.32930,1.81979,0.16612,Hambo,0.50376,0.60076,-9.19382,-3.76476,True,-3.31873
176,Bob,-0.25961,-0.10782,-2.26648,-1.80836,1.68956,-0.12140,Slängpolskor,0.54196,-2.21692,-9.28374,-1.68685,True,-2.43129
177,Jorg,-0.54580,0.98852,1.32203,-2.08437,1.94828,1.41264,Slängpolskor,0.97279,0.07335,-10.17597,1.31951,True,-2.06799
178,Jorg,-0.57923,-0.04732,-5.05349,-2.43664,2.20844,-0.49830,Slängpolskor,-2.13227,1.41983,-5.79286,-1.08660,True,-5.42291
179,Atsuto,-0.33332,-0.03249,-1.05180,-1.98843,1.76161,0.63175,Slängpolskor,0.90536,-0.41043,-10.26421,2.43235,True,-2.19250
180,Atsuto,-1.02629,-0.25710,0.77050,-2.17761,1.88506,-0.01227,Hambo,0.14153,0.28410,-7.86365,-0.41880,False,-4.74620
181,Jorg,-0.19511,-0.14321,-3.30927,-3.26528,2.78707,-0.20006,Slängpolskor,1.60860,3.04062,-10.73505,0.85421,True,-2.63018
182,Bob,0.03985,-1.00474,1.57950,-1.73499,1.54631,-1.34884,Polka,-1.40187,-1.26082,-7.49314,-2.42217,False,0.98900
